                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 2.7177,                 1.0724,                 2.0984,                0.95526,                0.94346,                0.98348,                0.57385,                 2.9422,                0.98829,                 2.3588,              0.0013367,              0.0013367,              0.0013367
                     69,                 2.7551,                 1.0804,                 2.0755,                0.96886,                0.93948,                0.98576,                0.59048,                 2.8335,                0.97229,                 2.2837,              0.0013268,              0.0013268,              0.0013268
                     70,                  2.717,                 1.0666,                  2.112,                0.96877,                0.94332,                0.98611,                0.60134,                 2.7996,                0.93195,                 2.2714,              0.0013169,              0.0013169,              0.0013169
                     71,                 2.7199,                 1.0708,                 2.1039,                 0.9728,                0.94428,                0.98603,                0.60761,                 2.8232,                0.93069,                 2.2649,               0.001307,               0.001307,               0.001307
                     72,                 2.7447,                 1.0714,                 2.0973,                0.96431,                0.95005,                0.98297,                0.58148,                 2.9334,                0.95489,                 2.3082,              0.0012971,              0.0012971,              0.0012971
                     73,                 2.7715,                 1.0844,                 2.0911,                0.96622,                0.95869,                0.98671,                 0.6014,                 2.8029,                0.94651,                 2.2723,              0.0012872,              0.0012872,              0.0012872
                     74,                 2.7329,                 1.0664,                 2.0962,                0.96594,                0.95869,                0.98477,                0.59412,                 2.8621,                 0.9314,                 2.2862,              0.0012773,              0.0012773,              0.0012773
                     75,                 2.7081,                 1.0529,                  2.063,                 0.9746,                0.95485,                0.98717,                0.60489,                 2.7902,                0.92566,                 2.2679,              0.0012674,              0.0012674,              0.0012674
                     76,                 2.6792,                 1.0576,                 2.0867,                0.97012,                0.95965,                0.98805,                0.59942,                 2.8331,                0.94056,                 2.2809,              0.0012575,              0.0012575,              0.0012575
                     77,                 2.6967,                 1.0394,                 2.0986,                0.96696,                0.95595,                0.98817,                0.61099,                 2.7815,                0.91769,                 2.2506,              0.0012476,              0.0012476,              0.0012476
