epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2076.93,2.58405,0.98606,2.09071,0.96318,0.96542,0.98735,0.61016,2.79401,0.87917,2.26496,0.0009803,0.0009803,0.0009803
105,2096.71,2.61318,0.99869,2.06926,0.97276,0.96446,0.98953,0.62127,2.75863,0.84996,2.24488,0.0009704,0.0009704,0.0009704
106,2116.31,2.58885,0.99173,2.08544,0.97308,0.96254,0.98813,0.61882,2.77864,0.87748,2.2526,0.0009605,0.0009605,0.0009605
107,2135.91,2.57209,0.98263,2.08814,0.97993,0.96158,0.98935,0.62597,2.76242,0.85568,2.24467,0.0009506,0.0009506,0.0009506
108,2155.94,2.58496,0.98862,2.09627,0.97934,0.95643,0.98779,0.6238,2.76674,0.85512,2.25591,0.0009407,0.0009407,0.0009407
109,2175.53,2.54008,0.96664,2.07528,0.96149,0.96926,0.98541,0.61622,2.7612,0.86447,2.25378,0.0009308,0.0009308,0.0009308
110,2195.22,2.55722,0.97801,2.09534,0.96867,0.95032,0.98559,0.61218,2.78601,0.86216,2.26426,0.0009209,0.0009209,0.0009209
111,2214.92,2.57473,0.9855,2.05657,0.97501,0.95485,0.98788,0.61908,2.7517,0.8437,2.25405,0.000911,0.000911,0.000911
112,2234.78,2.54539,0.97322,2.05455,0.97845,0.95937,0.9888,0.62659,2.75526,0.84568,2.25523,0.0009011,0.0009011,0.0009011
113,2254.45,2.51489,0.96093,2.0788,0.9755,0.96926,0.98928,0.62073,2.75606,0.85126,2.25963,0.0008912,0.0008912,0.0008912
114,2274.18,2.52507,0.96403,2.07039,0.96798,0.95829,0.98855,0.61857,2.78077,0.85683,2.25682,0.0008813,0.0008813,0.0008813
115,2293.76,2.50916,0.95806,2.06317,0.97291,0.96602,0.98675,0.61558,2.77461,0.85437,2.25746,0.0008714,0.0008714,0.0008714
116,2313.41,2.5219,0.96611,2.05308,0.97867,0.96734,0.98992,0.61616,2.79149,0.84766,2.26146,0.0008615,0.0008615,0.0008615
117,2332.93,2.50804,0.95898,2.05806,0.97009,0.96585,0.98781,0.61861,2.76552,0.86347,2.25967,0.0008516,0.0008516,0.0008516
